wavelength,intensity,metadata
897.659,2.23856,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.616,2.22153,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.573,2.23783,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.53,2.2436,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.487,2.23324,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.444,2.2554,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.401,2.2394,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.358,2.25029,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.315,2.2563,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.272,2.22622,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.229,2.26959,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.186,2.23567,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.143,2.26188,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.1,2.24741,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.057,2.27948,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
897.014,2.24506,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.971,2.25564,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.928,2.2703,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.885,2.25992,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.842,2.26588,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.799,2.29202,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.756,2.2783,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.713,2.28016,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.67,2.27308,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.627,2.24992,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.584,2.27296,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.541,2.29674,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.498,2.28226,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.455,2.28741,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.412,2.31627,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.369,2.28699,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.326,2.31098,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.282,2.32171,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.239,2.30212,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.196,2.30826,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.153,2.31337,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.11,2.30192,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.067,2.29175,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
896.024,2.31721,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.981,2.33502,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.938,2.30322,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.895,2.32279,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.852,2.28998,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.809,2.31489,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.766,2.30623,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.722,2.29528,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
895.679,2.32092,"{'sample': 'D2', 'excitation': '633nm', 'spectrumType': 'PL', 'temperature': '93K'}"
